EAR,MAR,Pitch,Yaw,Label
0.2477,0.3876,-15.6742,-49.2798,0
0.2411,0.4183,-11.403,-49.1435,0
0.2438,0.5207,-9.948,-49.0456,0
0.247,0.5755,-10.1214,-48.7784,0
0.1201,0.5701,-10.2144,-46.1689,0
0.1967,0.6102,-11.3337,-46.7671,0
0.262,0.5603,-13.2689,-47.2006,0
0.27,0.5892,-11.4785,-47.9184,0
0.2751,0.6056,-10.9655,-48.3075,0
0.2608,0.6449,-10.7842,-46.389,0
0.2132,0.5999,-8.5652,-43.456,0
0.2291,0.605,-9.2391,-44.7147,0
0.2483,0.5681,-10.066,-44.8443,0
0.2316,0.5812,-10.0606,-45.1501,0
0.2268,0.5794,-10.5777,-45.9962,0
0.2327,0.5574,-10.6427,-46.0385,0
0.2536,0.5218,-12.0825,-46.6718,0
0.2599,0.4973,-13.2989,-46.3682,0
0.222,0.4681,-11.7087,-45.3204,0
0.2432,0.5024,-8.8775,-45.5655,0
0.252,0.5023,-7.925,-45.4423,0
0.2529,0.4992,-9.2632,-47.4116,0
0.2671,0.5095,-11.2777,-48.4644,0
0.2459,0.5066,-10.9242,-48.287,0
0.1976,0.5104,-7.528,-49.4912,0
0.2326,0.5343,-6.7091,-50.8033,0
0.2287,0.4945,-3.2432,-45.9543,0
0.2461,0.4683,5.0348,38.9904,0
0.2511,0.5154,2.0063,-25.2732,0
0.2923,0.5576,-9.4972,-55.8553,0
0.2786,0.5837,-7.7823,-52.8049,0
0.2566,0.6238,-8.158,-50.1354,0
0.2629,0.5256,-8.86,-47.83,0
0.2637,0.6403,-8.6165,-48.5983,0
0.2611,0.5973,-9.0526,-49.4686,0
0.2602,0.6731,-9.3551,-51.1221,0
0.2671,0.6933,-10.4706,-53.0809,0
0.2928,0.6326,-10.8865,-56.8974,0
0.2943,0.6553,-9.5879,-58.0844,0
0.2831,0.7361,-9.4096,-58.2509,0
0.2848,0.6745,-8.3512,-56.3101,0
